model_id,hardware_type,pretrained_model,classifier_head,opt_alg,training_time_mins,inference_time_secs,accuracy,precision,recall,conf_mat,roc_auc
1,cpu,resnet18,single,adam,5.87778879404068,8.196835994720459,81.82%,86.67%,81.82%,"[[7, 4], [0, 11]]",81.82%
2,cpu,resnet18,single,sgd,5.875684936841329,9.499671697616575,68.18%,80.56%,68.18%,"[[4, 7], [0, 11]]",68.18%
3,cpu,resnet18,multi,adam,5.881606896718343,9.242843866348268,81.82%,86.67%,81.82%,"[[7, 4], [0, 11]]",81.82%
4,cpu,resnet18,multi,sgd,3.714953029155731,4.776238441467285,90.91%,92.31%,90.91%,"[[9, 2], [0, 11]]",90.91%
5,cpu,vgg16,single,adam,38.97634260257085,21.181527137756348,68.18%,80.56%,68.18%,"[[4, 7], [0, 11]]",68.18%
6,cpu,vgg16,single,sgd,39.28553481896719,22.356066465377808,50.00%,25.00%,50.00%,"[[0, 11], [0, 11]]",50.00%
7,cpu,vgg16,multi,adam,40.49127728939057,21.004456520080566,77.27%,84.38%,77.27%,"[[6, 5], [0, 11]]",77.27%
8,cpu,vgg16,multi,sgd,40.26367266575495,22.94587540626526,77.27%,84.38%,77.27%,"[[6, 5], [0, 11]]",77.27%
9,cpu,mobilenet-v3,single,adam,3.222896846135457,6.839791774749756,54.55%,76.19%,54.55%,"[[11, 0], [10, 1]]",54.55%
10,cpu,mobilenet-v3,single,sgd,3.4531890551249185,13.87570333480835,54.55%,56.47%,54.55%,"[[9, 2], [8, 3]]",54.55%
11,cpu,mobilenet-v3,multi,adam,3.35837957461675,6.238333702087402,63.64%,69.41%,63.64%,"[[10, 1], [7, 4]]",63.64%
12,cpu,mobilenet-v3,multi,sgd,3.4187332073847454,15.212673664093018,68.18%,69.64%,68.18%,"[[9, 2], [5, 6]]",68.18%
13,gpu,resnet18,single,adam,0.3079824447631836,4.64704704284668,81.82%,86.67%,81.82%,"[[7, 4], [0, 11]]",81.82%
14,gpu,resnet18,single,sgd,0.3234382589658101,6.50952672958374,90.91%,92.31%,90.91%,"[[9, 2], [0, 11]]",90.91%
15,gpu,resnet18,multi,adam,0.3120910326639811,5.272719383239746,86.36%,89.29%,86.36%,"[[8, 3], [0, 11]]",86.36%
16,gpu,resnet18,multi,sgd,0.3181058406829834,6.478391647338867,95.45%,95.83%,95.45%,"[[11, 0], [1, 10]]",95.45%
17,gpu,vgg16,single,adam,0.9037617484728496,4.949237108230591,72.73%,82.35%,72.73%,"[[5, 6], [0, 11]]",72.73%
18,gpu,vgg16,single,sgd,0.5543939312299092,5.194904088973999,77.27%,79.46%,77.27%,"[[7, 4], [1, 10]]",77.27%
19,gpu,vgg16,multi,adam,0.5677111983299256,5.921305418014526,77.27%,84.38%,77.27%,"[[6, 5], [0, 11]]",77.27%
20,gpu,vgg16,multi,sgd,0.5407225330670674,6.444743633270264,77.27%,79.46%,77.27%,"[[7, 4], [1, 10]]",77.27%
21,gpu,mobilenet-v3,single,adam,1.3680107553799947,4.879338026046753,68.18%,69.64%,68.18%,"[[9, 2], [5, 6]]",68.18%
22,gpu,mobilenet-v3,single,sgd,0.3197624882062276,5.102678060531616,77.27%,79.46%,77.27%,"[[7, 4], [1, 10]]",77.27%
23,gpu,mobilenet-v3,multi,adam,0.3326810797055562,5.30916953086853,63.64%,78.95%,63.64%,"[[11, 0], [8, 3]]",63.64%
24,gpu,mobilenet-v3,multi,sgd,0.3393968224525451,5.609779596328735,72.73%,82.35%,72.73%,"[[11, 0], [6, 5]]",72.73%
